当n的值为20时
|  变量值  |  拉格朗日插值 |   分段线性插值 |  三次样条插值  |    原函数值    |
| x=0.150 |     0.740818 |	    0.774406 |	    0.740524 |	    0.740818 |
| x=0.450 |      0.40657 |	    0.425003 |	    0.406462 |	     0.40657 |
| x=0.750 |      0.22313 |	    0.233247 |	    0.223057 |	     0.22313 |
| x=1.050 |     0.122456 |	    0.128008 |	     0.12242 |	    0.122456 |
| x=1.350 |    0.0672055 |	   0.0702525 |	   0.0671845 |	   0.0672055 |
| x=1.650 |    0.0368832 |	   0.0385554 |	   0.0368719 |	   0.0368832 |
| x=1.950 |    0.0202419 |	   0.0211596 |	   0.0202357 |	   0.0202419 |
| x=2.250 |     0.011109 |	   0.0116127 |	   0.0111056 |	    0.011109 |
| x=2.550 |   0.00609675 |	  0.00637316 |	  0.00609487 |	  0.00609675 |
| x=2.850 |   0.00334597 |	  0.00349767 |	  0.00334494 |	  0.00334597 |
| x=3.150 |    0.0018363 |	  0.00191956 |	  0.00183574 |	   0.0018363 |
| x=3.450 |   0.00100779 |	  0.00105348 |	  0.00100748 |	  0.00100779 |
| x=3.750 |  0.000553084 |	  0.00057816 |	 0.000552914 |	 0.000553084 |
| x=4.050 |  0.000303539 |	 0.000317301 |	 0.000303446 |	 0.000303539 |
| x=4.350 |  0.000166586 |	 0.000174139 |	 0.000166534 |	 0.000166586 |
| x=4.650 |  9.14242e-05 |	 9.55693e-05 |	 9.13961e-05 |	 9.14242e-05 |
| x=4.950 |  5.01747e-05 |	 5.24495e-05 |	 5.01592e-05 |	 5.01747e-05 |
| x=5.250 |  2.75364e-05 |	 2.87849e-05 |	  2.7528e-05 |	 2.75364e-05 |
| x=5.550 |  1.51123e-05 |	 1.57975e-05 |	 1.51076e-05 |	 1.51123e-05 |
| x=5.850 |  8.29365e-06 |	 8.66985e-06 |	 8.29167e-06 |	 8.29382e-06 |
三种插值函数的最大绝对误差分别为
 2.84478e-10	   0.0335876	 0.000293785

当n的值为30时
|  变量值  |  拉格朗日插值 |   分段线性插值 |  三次样条插值  |    原函数值    |
| x=0.100 |     0.818731 |	     0.83516 |	    0.818669 |	    0.818731 |
| x=0.300 |     0.548812 |	    0.559825 |	    0.548779 |	    0.548812 |
| x=0.500 |     0.367879 |	    0.375262 |	    0.367855 |	    0.367879 |
| x=0.700 |     0.246597 |	    0.251545 |	    0.246581 |	    0.246597 |
| x=0.900 |     0.165299 |	    0.168616 |	    0.165288 |	    0.165299 |
| x=1.100 |     0.110803 |	    0.113027 |	    0.110796 |	    0.110803 |
| x=1.300 |    0.0742736 |	    0.075764 |	   0.0742688 |	   0.0742736 |
| x=1.500 |    0.0497871 |	   0.0507861 |	   0.0497839 |	   0.0497871 |
| x=1.700 |    0.0333733 |	    0.034043 |	   0.0333711 |	   0.0333733 |
| x=1.900 |    0.0223708 |	   0.0228197 |	   0.0223693 |	   0.0223708 |
| x=2.100 |    0.0149956 |	   0.0152965 |	   0.0149946 |	   0.0149956 |
| x=2.300 |    0.0100518 |	   0.0102535 |	   0.0100512 |	   0.0100518 |
| x=2.500 |   0.00673795 |	  0.00687316 |	  0.00673752 |	  0.00673795 |
| x=2.700 |   0.00451658 |	  0.00460721 |	  0.00451629 |	  0.00451658 |
| x=2.900 |   0.00302755 |	  0.00308831 |	  0.00302736 |	  0.00302755 |
| x=3.100 |   0.00202943 |	  0.00207015 |	   0.0020293 |	  0.00202943 |
| x=3.300 |   0.00136037 |	  0.00138767 |	  0.00136028 |	  0.00136037 |
| x=3.500 |  0.000911882 |	  0.00093018 |	 0.000911824 |	 0.000911882 |
| x=3.700 |  0.000611253 |	 0.000623519 |	 0.000611214 |	 0.000611253 |
| x=3.900 |  0.000409735 |	 0.000417957 |	 0.000409709 |	 0.000409735 |
| x=4.100 |  0.000274654 |	 0.000280165 |	 0.000274636 |	 0.000274654 |
| x=4.300 |  0.000184106 |	   0.0001878 |	 0.000184094 |	 0.000184106 |
| x=4.500 |   0.00012341 |	 0.000125886 |	 0.000123402 |	  0.00012341 |
| x=4.700 |  8.27241e-05 |	 8.43841e-05 |	 8.27188e-05 |	 8.27241e-05 |
| x=4.900 |  5.54516e-05 |	 5.65643e-05 |	  5.5448e-05 |	 5.54516e-05 |
| x=5.100 |  3.71703e-05 |	 3.79162e-05 |	 3.71679e-05 |	 3.71703e-05 |
| x=5.300 |   2.4916e-05 |	  2.5416e-05 |	 2.49144e-05 |	  2.4916e-05 |
| x=5.500 |  1.67017e-05 |	 1.70368e-05 |	 1.67006e-05 |	 1.67017e-05 |
| x=5.700 |  1.11955e-05 |	 1.14201e-05 |	 1.11948e-05 |	 1.11955e-05 |
| x=5.900 |  7.50456e-06 |	 7.65515e-06 |	 7.50413e-06 |	 7.50456e-06 |
三种插值函数的最大绝对误差分别为
 2.89657e-13	   0.0164293	  6.1274e-05

当n的值为50时
|  变量值  |  拉格朗日插值 |   分段线性插值 |  三次样条插值  |    原函数值    |
| x=0.060 |      0.88692 |	    0.893314 |	    0.886912 |	     0.88692 |
| x=0.180 |     0.697676 |	    0.702706 |	    0.697671 |	    0.697676 |
| x=0.300 |     0.548812 |	    0.552768 |	    0.548807 |	    0.548812 |
| x=0.420 |     0.431711 |	    0.434823 |	    0.431707 |	    0.431711 |
| x=0.540 |     0.339596 |	    0.342044 |	    0.339593 |	    0.339596 |
| x=0.660 |     0.267135 |	    0.269061 |	    0.267133 |	    0.267135 |
| x=0.780 |     0.210136 |	    0.211651 |	    0.210134 |	    0.210136 |
| x=0.900 |     0.165299 |	     0.16649 |	    0.165297 |	    0.165299 |
| x=1.020 |     0.130029 |	    0.130966 |	    0.130028 |	    0.130029 |
| x=1.140 |     0.102284 |	    0.103022 |	    0.102283 |	    0.102284 |
| x=1.260 |    0.0804596 |	   0.0810396 |	   0.0804589 |	   0.0804596 |
| x=1.380 |    0.0632918 |	    0.063748 |	   0.0632912 |	   0.0632918 |
| x=1.500 |    0.0497871 |	    0.050146 |	   0.0497866 |	   0.0497871 |
| x=1.620 |    0.0391639 |	   0.0394462 |	   0.0391636 |	   0.0391639 |
| x=1.740 |    0.0308074 |	   0.0310295 |	   0.0308071 |	   0.0308074 |
| x=1.860 |     0.024234 |	   0.0244087 |	   0.0242338 |	    0.024234 |
| x=1.980 |    0.0190631 |	   0.0192005 |	    0.019063 |	   0.0190631 |
| x=2.100 |    0.0149956 |	   0.0151037 |	   0.0149954 |	   0.0149956 |
| x=2.220 |    0.0117959 |	    0.011881 |	   0.0117958 |	   0.0117959 |
| x=2.340 |   0.00927901 |	   0.0093459 |	  0.00927893 |	  0.00927901 |
| x=2.460 |   0.00729913 |	  0.00735175 |	  0.00729907 |	  0.00729913 |
| x=2.580 |    0.0057417 |	  0.00578309 |	  0.00574165 |	   0.0057417 |
| x=2.700 |   0.00451658 |	  0.00454914 |	  0.00451654 |	  0.00451658 |
| x=2.820 |   0.00355287 |	  0.00357848 |	  0.00355284 |	  0.00355287 |
| x=2.940 |   0.00279479 |	  0.00281493 |	  0.00279476 |	  0.00279479 |
| x=3.060 |   0.00219846 |	   0.0022143 |	  0.00219844 |	  0.00219846 |
| x=3.180 |   0.00172937 |	  0.00174183 |	  0.00172935 |	  0.00172937 |
| x=3.300 |   0.00136037 |	  0.00137017 |	  0.00136036 |	  0.00136037 |
| x=3.420 |    0.0010701 |	  0.00107782 |	  0.00107009 |	   0.0010701 |
| x=3.540 |  0.000841773 |	 0.000847841 |	 0.000841766 |	 0.000841773 |
| x=3.660 |  0.000662162 |	 0.000666936 |	 0.000662157 |	 0.000662162 |
| x=3.780 |  0.000520875 |	  0.00052463 |	 0.000520871 |	 0.000520875 |
| x=3.900 |  0.000409735 |	 0.000412689 |	 0.000409731 |	 0.000409735 |
| x=4.020 |  0.000322309 |	 0.000324632 |	 0.000322306 |	 0.000322309 |
| x=4.140 |  0.000253537 |	 0.000255365 |	 0.000253535 |	 0.000253537 |
| x=4.260 |  0.000199439 |	 0.000200877 |	 0.000199438 |	 0.000199439 |
| x=4.380 |  0.000156885 |	 0.000158016 |	 0.000156883 |	 0.000156885 |
| x=4.500 |   0.00012341 |	 0.000124299 |	 0.000123409 |	  0.00012341 |
| x=4.620 |  9.70776e-05 |	 9.77774e-05 |	 9.70768e-05 |	 9.70776e-05 |
| x=4.740 |  7.63639e-05 |	 7.69144e-05 |	 7.63633e-05 |	 7.63639e-05 |
| x=4.860 |    6.007e-05 |	  6.0503e-05 |	 6.00695e-05 |	   6.007e-05 |
| x=4.980 |  4.72527e-05 |	 4.75934e-05 |	 4.72523e-05 |	 4.72527e-05 |
| x=5.100 |  3.71703e-05 |	 3.74383e-05 |	   3.717e-05 |	 3.71703e-05 |
| x=5.220 |  2.92392e-05 |	   2.945e-05 |	  2.9239e-05 |	 2.92392e-05 |
| x=5.340 |  2.30004e-05 |	 2.31662e-05 |	 2.30002e-05 |	 2.30004e-05 |
| x=5.460 |  1.80927e-05 |	 1.82232e-05 |	 1.80926e-05 |	 1.80927e-05 |
| x=5.580 |  1.42322e-05 |	 1.43348e-05 |	 1.42321e-05 |	 1.42323e-05 |
| x=5.700 |  1.11965e-05 |	 1.12762e-05 |	 1.11954e-05 |	 1.11955e-05 |
| x=5.820 |   8.7913e-06 |	 8.87016e-06 |	  8.8066e-06 |	 8.80668e-06 |
| x=5.940 |  7.55026e-06 |	 6.97752e-06 |	 6.92753e-06 |	 6.92758e-06 |
三种插值函数的最大绝对误差分别为
 6.22678e-07	  0.00639349	 8.24951e-06

当n的值为80时
|  变量值  |  拉格朗日插值 |   分段线性插值 |  三次样条插值  |    原函数值    |
| x=0.037 |      328.034 |	    0.930354 |	    0.927742 |	    0.927743 |
| x=0.113 |     -5.35934 |	    0.800763 |	    0.798515 |	    0.798516 |
| x=0.188 |     0.801989 |	    0.689223 |	    0.687288 |	    0.687289 |
| x=0.263 |     0.584671 |	     0.59322 |	    0.591555 |	    0.591555 |
| x=0.338 |     0.509177 |	    0.510589 |	    0.509156 |	    0.509156 |
| x=0.412 |     0.438304 |	    0.439468 |	    0.438234 |	    0.438235 |
| x=0.487 |     0.377194 |	    0.378254 |	    0.377192 |	    0.377192 |
| x=0.562 |     0.324652 |	    0.325566 |	    0.324652 |	    0.324652 |
| x=0.637 |     0.279431 |	    0.280217 |	    0.279431 |	    0.279431 |
| x=0.713 |     0.240508 |	    0.241185 |	    0.240508 |	    0.240508 |
| x=0.787 |     0.207008 |	     0.20759 |	    0.207007 |	    0.207008 |
| x=0.863 |     0.178173 |	    0.178674 |	    0.178173 |	    0.178173 |
| x=0.938 |     0.153355 |	    0.153786 |	    0.153355 |	    0.153355 |
| x=1.012 |     0.131994 |	    0.132365 |	    0.131994 |	    0.131994 |
| x=1.087 |     0.113608 |	    0.113928 |	    0.113608 |	    0.113608 |
| x=1.163 |    0.0977834 |	   0.0980586 |	   0.0977833 |	   0.0977834 |
| x=1.238 |     0.084163 |	   0.0843998 |	   0.0841629 |	    0.084163 |
| x=1.312 |    0.0724398 |	   0.0726436 |	   0.0724397 |	   0.0724398 |
| x=1.387 |    0.0623495 |	   0.0625249 |	   0.0623494 |	   0.0623495 |
| x=1.462 |    0.0536647 |	   0.0538157 |	   0.0536646 |	   0.0536647 |
| x=1.538 |    0.0461896 |	   0.0463196 |	   0.0461896 |	   0.0461896 |
| x=1.613 |    0.0397558 |	   0.0398676 |	   0.0397557 |	   0.0397558 |
| x=1.688 |    0.0342181 |	   0.0343144 |	   0.0342181 |	   0.0342181 |
| x=1.762 |    0.0294518 |	   0.0295347 |	   0.0294518 |	   0.0294518 |
| x=1.837 |    0.0253494 |	   0.0254207 |	   0.0253494 |	   0.0253494 |
| x=1.913 |    0.0218184 |	   0.0218798 |	   0.0218184 |	   0.0218184 |
| x=1.988 |    0.0187793 |	   0.0188321 |	   0.0187793 |	   0.0187793 |
| x=2.062 |    0.0161635 |	    0.016209 |	   0.0161635 |	   0.0161635 |
| x=2.138 |     0.013912 |	   0.0139512 |	    0.013912 |	    0.013912 |
| x=2.212 |    0.0119742 |	   0.0120079 |	   0.0119742 |	   0.0119742 |
| x=2.288 |    0.0103063 |	   0.0103353 |	   0.0103063 |	   0.0103063 |
| x=2.362 |   0.00887071 |	  0.00889567 |	   0.0088707 |	  0.00887071 |
| x=2.438 |   0.00763509 |	  0.00765658 |	  0.00763508 |	  0.00763509 |
| x=2.513 |   0.00657159 |	  0.00659008 |	  0.00657158 |	  0.00657159 |
| x=2.587 |   0.00565622 |	  0.00567213 |	  0.00565621 |	  0.00565622 |
| x=2.663 |   0.00486835 |	  0.00488205 |	  0.00486834 |	  0.00486835 |
| x=2.737 |   0.00419023 |	  0.00420202 |	  0.00419022 |	  0.00419023 |
| x=2.812 |   0.00360656 |	  0.00361671 |	  0.00360656 |	  0.00360656 |
